poor,fruitless,fruitbearing
24.3,184,21,145,0
24.5,183,21,145,0
24.1,184,20,145,0
24.1,184,23,145,0
24.6,184,21,145,0
24.5,184,26,150,0
24.4,184,21,148,0
24.5,184,23,145,0
24.3,183,21,145,0
24.6,184,23,143,0
24.7,184,23,145,0
23.9,184,24,145,0
24,183,21,143,0
24.1,183,17,143,0
25.7,184,18,145,0
24.8,185,23,150,0
25.4,184,20,150,0
25,184,21,148,0
25,184,26,148,0
24.4,184,23,148,0
25.2,184,26,145,0
25.1,184,23,150,0
24.6,184,15,145,0
24.4,184,26,153,0
24,184,29,145,0
24.6,183,24,145,0
25,184,24,150,0
24.5,184,23,145,0
24.3,184,21,145,0
24.4,184,24,145,0
24.2,184,24,145,0
24.5,184,23,150,0
25.2,185,23,143,0
25.5,185,21,145,0
24,184,23,143,0
24.3,184,18,145,0
25.5,184,20,145,0
24.8,184,23,143,0
24.2,183,20,145,0
25.1,184,23,145,0
24.8,184,20,148,0
23.7,183,20,148,0
24.1,184,20,145,0
24.4,184,24,155,0
25.1,184,29,150,0
24,183,21,148,0
24.7,184,24,145,0
23.8,184,21,145,0
25.2,184,23,145,0
24.6,184,21,145,0
26.4,184,71,175,1
25.5,184,68,178,1
26.6,184,74,178,1
24.7,183,60,173,1
26.2,183,69,178,1
25.7,183,68,173,1
26.3,184,71,180,1
24.4,183,50,165,1
26,183,69,173,1
25.1,183,59,175,1
24.8,182,53,165,1
25.4,183,63,178,1
25.7,183,60,165,1
25.3,183,71,175,1
25,183,54,173,1
25.8,184,66,175,1
25,183,68,178,1
25.7,183,62,165,1
25.7,183,68,178,1
25.6,183,59,168,1
25.2,184,72,185,1
25.3,183,60,173,1
26.1,183,74,178,1
25.7,183,71,170,1
25.6,183,65,173,1
26.3,183,66,175,1
26.5,183,72,175,1
26.4,183,75,183,1
25.9,183,68,178,1
25.7,183,53,165,1
25.1,183,57,168,1
25.4,183,56,165,1
24.9,183,59,170,1
26,183,77,180,1
24.8,183,68,178,1
25.8,184,68,180,1
25.8,184,71,178,1
26.2,183,66,173,1
24.7,183,62,173,1
24.7,183,60,173,1
24.7,183,66,170,1
25.3,183,69,175,1
25.1,183,60,170,1
24.4,183,50,165,1
25.5,183,63,173,1
25.1,183,63,170,1
24.8,183,63,173,1
26.2,183,65,173,1
24.3,183,45,168,1
25,183,62,173,1
25.4,184,90,203,2
25.5,183,77,188,2
26.3,183,89,193,2
26.1,183,84,185,2
26,183,87,195,2
26.8,183,99,193,2
24,183,68,183,2
27.1,183,95,185,2
25.8,183,87,185,2
27.1,184,92,203,2
26.4,184,77,190,2
25.8,183,80,188,2
26.3,183,83,193,2
24.9,183,75,190,2
25.5,183,77,200,2
26,184,80,198,2
26,183,83,185,2
27.6,184,101,195,2
27.1,183,104,198,2
25.5,183,75,178,2
26.1,184,86,198,2
25.2,183,74,190,2
27.6,183,101,190,2
26.1,183,74,185,2
26.3,184,86,193,2
27.2,184,90,185,2
25.8,183,72,185,2
25.2,183,74,185,2
25.8,183,84,193,2
26.7,183,87,180,2
27.3,183,92,188,2
27.9,184,96,190,2
25.8,183,84,195,2
25.9,183,77,178,2
25.7,183,84,175,2
27.1,183,92,198,2
25.7,184,84,200,2
25.5,184,83,185,2
26,183,72,185,2
26.8,184,81,193,2
26.4,184,84,200,2
26.3,184,77,198,2
25.5,183,77,188,2
26.7,184,89,198,2
26.5,184,86,203,2
26,183,78,198,2
25.9,183,75,188,2
26.4,183,78,190,2
26.1,184,81,198,2
25.4,183,77,185,2
